#,Years,Price,Model,Mileage,Condition,Usage Type,Owner#,Location
0,2018,27637,Prius Two FWD,29801,"Accident check
No issues reported",Personal,2.0,CA
1,2017,24500,Prius Two FWD,16565,"Accident check
No issues reported",Personal,1.0,CA
2,2011,11988,Prius Three,94506,"Accident check
1Accident reported",Personal,1.0,CA
3,2015,14199,Prius Two,77651,"Accident check
No issues reported",Personal,1.0,CA
4,2010,6990,Prius,141175,"Accident check
No issues reported",Personal,1.0,HI
5,2018,20451,Prius Four FWD,58385,"Accident check
No issues reported",Personal,1.0,CA
6,2020,27369,Prius XLE FWD,9381,"Accident check
No issues reported",Personal,1.0,FL
7,2020,25437,Prius LE FWD,28659,"Accident check
No issues reported",Personal,1.0,ND
8,2011,9990,Prius Two,84120,"Accident check
No issues reported",Personal,2.0,MN
9,2020,27990,Prius LE FWD,21426,"Accident check
No issues reported",Personal,1.0,KY
10,2018,24871,Prius,40522,"Accident check
No issues reported",Personal,2.0,OR
11,2015,7900,Prius Persona Series,154957,"Accident check
1Accident reported",Commercial,3.0,FL
12,2019,24900,Prius Limited FWD,35966,"Accident check
No issues reported",Commercial,1.0,PA
13,2015,14499,Prius Four,110022,"Accident check
No issues reported",Personal,2.0,OR
14,2015,9999,Prius Two,156858,"Accident check
1Accident reported",Personal,2.0,CA
15,2020,29999,Prius XLE AWD-e,11290,"Accident check
No issues reported",Personal,1.0,CO
16,2018,20999,Prius One FWD,55632,"Accident check
No issues reported",Personal,2.0,CO
17,2010,5977,Prius,144606,"Accident check
No issues reported",Personal,3.0,PA
18,2015,22499,Prius Persona Series,42619,"Accident check
No issues reported",Personal,1.0,CA
19,2012,13980,Prius Four,52965,"Accident check
No issues reported",Personal,2.0,FL
20,2015,10995,Prius Two,119912,"Accident check
No issues reported",Commercial,3.0,UT
21,2019,14750,Prius,132050,"Accident check
Frame damage reported",Personal,1.0,FL
22,2013,9995,Prius One,101547,"Accident check
No issues reported",Personal,2.0,UT
23,2013,9888,Prius Five,150426,"Accident check
No issues reported",Personal,2.0,CA
24,2010,6215,Prius,134139,"Accident check
1Accident reported",Personal,3.0,TN
25,2015,14499,Prius Four,102536,"Accident check
No issues reported",Personal,3.0,CA
26,2014,12000,Prius Two,109641,"Accident check
No issues reported",Personal,2.0,TN
